Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
61,20,82.53,89.66,89.24,7.7,1
62,24,72.53,81.09,80.53,2.4,1
63,22,76.37,71.59,65.97,0.0,1
64,18,85.19,82.1,83.19,5.4,1
65,24,93.9,72.27,85.19,8.6,1
66,19,76.23,100.0,83.94,7.5,1
67,21,69.63,59.36,78.22,5.4,1
68,18,80.23,83.39,81.77,4.0,1
69,21,71.16,84.98,83.85,6.6,1
70,23,68.98,55.21,79.36,3.1,1
71,19,88.01,76.51,81.86,6.0,1
72,19,73.18,77.05,69.17,6.0,1
73,18,100.0,96.97,84.45,7.1,1
74,19,100.0,82.94,91.51,10.5,1
75,22,66.69,74.26,83.54,5.8,1
76,19,67.68,43.97,73.25,4.0,1
77,21,56.84,95.52,70.24,4.9,1
78,21,61.67,51.65,78.0,1.5,1
79,24,83.46,74.72,75.01,3.6,1
80,21,73.46,71.38,79.77,4.2,1
81,24,81.61,70.82,75.75,4.0,1
82,21,65.68,85.62,80.55,5.3,1
83,22,83.18,90.26,73.21,3.4,1
84,25,81.05,84.62,76.66,7.2,1
85,24,80.12,82.86,83.79,5.0,1
86,20,79.07,78.95,75.18,5.0,1
87,23,65.18,85.11,79.91,4.3,1
88,18,69.37,70.35,83.88,5.3,1
89,21,94.78,93.0,78.71,6.7,1
90,19,78.89,83.23,66.97,3.3,1
91,25,86.6,84.09,96.81,3.7,1
92,21,81.45,65.28,74.58,4.4,1
93,19,73.33,64.88,79.59,2.3,1
94,23,57.94,73.07,92.32,3.4,1
95,23,74.3,55.55,84.32,4.0,1
96,23,84.83,99.24,81.0,6.7,1
97,19,100.0,76.35,80.46,5.5,1
98,21,88.07,79.61,74.14,5.4,1
99,23,100.0,73.18,90.45,6.7,1
100,22,85.08,58.18,83.93,4.7,1
101,24,75.29,70.15,77.48,5.8,1
102,19,80.57,77.03,71.26,4.8,1
103,19,83.86,84.58,70.43,5.5,1
104,21,67.01,73.34,85.49,3.8,1
105,19,61.46,64.46,71.16,0.1,1
106,19,77.04,70.06,81.12,4.7,1
107,23,100.0,89.35,79.02,7.8,1
108,21,64.89,98.49,72.09,6.9,1
109,23,97.76,89.16,91.5,6.9,1
110,24,78.13,92.21,85.34,7.5,1
111,25,66.88,79.13,87.66,5.2,1
112,24,93.0,58.16,77.71,5.4,1
113,25,83.72,58.86,75.71,3.8,1
114,23,90.75,78.66,84.51,4.4,1
115,24,91.61,78.47,88.26,6.2,1
116,21,100.0,87.48,91.18,7.4,1
117,18,84.69,94.22,77.04,4.7,1
118,23,75.74,81.01,83.12,4.1,1
119,25,83.43,90.11,88.87,5.0,1
120,22,96.03,79.74,81.56,6.2,1
121,25,63.51,56.61,70.09,2.1,1
122,22,59.68,60.51,81.54,0.4,1
123,19,73.61,62.04,72.56,3.9,1
124,24,51.75,86.5,80.24,2.6,1
125,22,78.38,81.48,77.53,4.0,1
126,25,60.24,80.35,64.67,4.7,1
127,19,77.83,87.13,87.23,4.1,1
128,18,97.35,59.46,63.74,7.9,1
129,21,77.33,84.16,65.53,5.7,1
130,21,98.57,61.07,85.42,5.6,1
131,21,68.99,78.51,86.62,6.2,1
132,22,85.01,64.36,70.3,2.7,1
133,18,93.05,89.24,85.38,7.1,1
134,22,62.24,77.14,59.35,4.8,1
135,24,100.0,95.04,88.26,6.3,1
136,22,73.06,61.48,77.8,2.9,1
137,18,61.93,74.21,73.43,1.9,1
138,18,70.73,81.75,83.37,6.6,1
139,24,80.2,57.78,85.55,5.8,1
140,18,73.33,58.58,76.17,3.2,1
141,25,75.93,68.1,61.61,3.3,1
142,18,83.92,95.25,100.0,7.3,1
143,21,79.13,73.36,84.81,2.6,1
144,25,86.02,70.89,76.32,8.3,1
145,25,55.25,67.92,73.64,3.2,1
146,24,82.41,100.0,80.71,6.3,1
147,20,54.23,74.23,87.23,4.3,1
148,20,87.14,74.67,65.13,6.2,1
149,18,66.91,77.6,73.81,3.9,1
150,25,80.73,83.26,65.31,4.7,1
151,20,93.44,69.83,77.92,5.1,1
152,20,64.51,75.03,72.22,3.0,1
153,18,95.11,75.55,83.64,6.5,1
154,20,72.67,80.63,73.16,4.0,1
155,22,96.03,75.54,72.99,4.5,1
156,19,70.35,74.78,80.96,3.0,1
157,24,56.6,50.89,73.64,0.0,1
158,19,85.67,63.94,83.61,4.6,1
159,18,90.04,100.0,88.18,9.8,1
160,21,76.39,78.85,78.63,6.6,1
161,24,75.22,78.42,79.05,5.0,1
162,18,78.05,69.82,83.01,4.5,1
163,25,93.42,85.78,62.59,5.0,1
164,21,63.96,71.01,85.35,6.1,1
165,19,73.03,66.17,77.67,2.6,1
166,18,92.85,91.03,84.9,7.2,1
167,25,86.13,93.28,81.61,6.4,1
168,24,97.3,72.91,62.27,6.4,1
169,24,81.96,100.0,78.28,5.9,1
170,23,78.15,78.76,94.32,5.0,1
171,25,89.82,66.38,82.7,6.3,1
172,22,84.59,83.03,79.94,6.2,1
173,20,74.0,68.3,78.74,4.3,1
174,21,81.86,76.91,80.64,3.9,1
175,25,74.07,75.09,85.67,5.2,1
176,23,83.19,85.19,84.37,8.1,1
177,20,67.22,56.56,78.4,2.5,1
178,20,84.83,78.18,87.61,2.1,1
179,18,48.69,62.03,88.65,5.3,1
180,20,84.26,61.99,98.92,5.1,1
181,22,81.24,80.31,75.35,5.3,1
182,24,64.69,95.73,94.41,5.5,1
183,23,81.9,69.57,72.87,4.6,1
184,20,93.76,92.41,88.83,8.0,1
185,18,76.3,78.28,79.46,1.8,1
186,22,48.38,79.68,72.51,3.3,1
187,19,93.06,70.67,80.3,4.8,1
188,24,62.72,52.01,80.68,1.7,1
189,24,85.67,47.31,73.52,4.6,1
190,23,97.31,81.75,99.96,8.3,1
191,24,71.23,89.14,68.92,5.0,1
192,20,88.1,63.01,96.52,5.5,1
193,18,68.65,75.9,83.01,2.5,1
194,24,55.69,60.0,76.88,3.8,1
195,24,89.28,73.87,75.18,4.2,1
196,19,70.45,81.69,74.74,4.4,1
197,19,79.26,74.89,84.11,7.6,1
198,21,79.27,80.35,81.81,6.1,1
199,22,76.12,63.42,85.64,2.8,1
200,20,80.93,84.96,96.75,5.5,1
201,24,88.48,80.82,83.6,6.0,1
202,25,73.51,82.58,77.83,7.3,1
203,24,82.18,100.0,82.03,8.2,1
204,18,72.84,76.95,74.54,3.0,1
205,21,94.18,61.92,68.56,3.4,1
206,22,71.36,66.47,65.57,2.5,1
207,25,89.35,72.59,95.78,4.5,1
208,21,83.09,78.66,84.22,5.9,1
209,23,81.16,100.0,77.33,7.0,1
210,22,76.93,78.85,86.13,4.8,1
211,24,76.52,48.77,69.37,4.4,1
212,24,86.94,69.39,71.83,5.3,1
213,22,88.65,46.71,70.18,3.3,1
214,24,96.2,83.64,100.0,9.2,1
215,20,82.27,41.55,71.58,1.8,1
216,22,71.55,65.74,61.27,5.4,1
217,21,87.85,68.75,97.68,9.0,1
218,22,72.76,79.61,77.55,5.0,1
219,25,81.94,73.81,64.4,4.6,1
220,24,74.31,76.54,76.07,4.3,1
221,20,86.1,72.55,83.37,4.6,1
222,20,78.79,66.37,88.63,7.7,1
223,23,67.23,67.96,85.59,0.6,1
224,21,96.17,100.0,79.38,8.1,1
225,19,50.95,71.51,74.77,2.2,1
226,19,99.72,68.39,73.4,4.5,1
227,22,74.47,55.16,65.86,4.1,1
228,23,63.35,67.7,89.48,6.2,1
229,18,71.98,70.84,77.31,1.8,1
230,22,83.03,90.58,84.07,5.9,1
231,23,91.18,90.13,91.41,9.0,1
232,21,81.81,76.5,69.12,2.3,1
233,21,88.67,84.69,72.75,5.4,1
234,21,79.08,77.18,77.7,3.7,1
235,21,87.2,69.8,91.09,5.9,1
236,21,78.96,77.09,92.86,5.0,1
237,23,93.85,60.92,83.76,3.7,1
238,23,68.21,78.21,82.23,6.0,1
239,20,92.2,89.77,89.36,8.6,1
240,25,79.45,93.95,79.29,4.6,1
241,19,92.33,63.48,74.59,6.4,1
242,24,63.76,72.98,75.0,2.4,1
243,21,56.86,87.07,65.52,3.1,1
244,18,84.27,86.81,80.81,5.9,1
245,24,91.81,94.0,99.09,8.0,1
246,23,97.0,84.15,87.98,5.7,1
247,18,65.5,88.78,71.42,4.4,1
248,18,91.55,61.95,79.42,5.0,1
249,18,96.17,50.87,68.32,2.5,1
250,20,79.82,78.52,81.9,6.2,1
251,23,72.49,54.47,91.93,6.8,1
252,18,73.23,87.07,83.42,4.1,1
253,21,77.44,86.95,98.07,4.1,1
254,22,87.14,71.3,90.54,5.5,1
255,18,71.39,67.85,79.83,4.1,1
256,20,95.25,73.83,85.22,4.9,1
257,24,81.45,88.22,86.78,9.2,1
258,23,61.11,75.03,69.98,4.5,1
259,25,88.97,79.6,89.05,4.3,1
260,20,53.35,69.03,85.47,3.7,1
261,18,82.46,90.82,81.07,6.5,1
262,23,100.0,79.15,81.39,4.6,1
263,22,75.98,63.82,87.33,3.7,1
264,18,76.59,98.82,91.97,7.6,1
265,20,87.83,67.1,73.9,7.8,1
266,19,75.89,70.29,79.55,3.8,1
267,21,70.51,75.5,71.26,1.3,1
268,25,92.62,72.32,92.9,7.0,1
269,24,65.41,74.51,85.45,3.6,1
270,20,100.0,86.32,93.75,6.6,1
271,23,70.75,52.97,63.26,1.1,1
272,25,92.67,79.53,77.33,6.8,1
273,25,66.52,65.92,84.11,2.6,1
274,25,97.36,72.88,78.27,6.5,1
275,18,77.43,100.0,67.83,5.0,1
276,21,77.08,60.14,80.46,3.1,1
277,18,68.27,84.66,74.02,4.2,1
278,23,74.23,74.49,97.12,6.4,1
279,18,87.48,62.56,82.77,5.2,1
280,19,79.16,79.83,83.68,6.2,1
281,21,83.46,94.79,85.05,9.0,1
282,21,64.27,76.75,86.53,1.9,1
283,23,96.59,100.0,89.27,8.2,1
284,24,74.31,100.0,77.13,5.2,1
285,19,73.42,72.61,70.05,3.2,1
286,20,72.05,58.94,74.01,2.3,1
287,18,59.63,79.23,71.38,4.6,1
288,22,70.69,77.21,91.83,6.8,1
289,18,82.46,85.21,64.93,4.7,1
290,25,81.63,68.43,84.88,8.0,1
291,18,81.87,94.72,79.08,2.1,1
292,20,89.67,85.27,82.74,5.0,1
293,18,79.69,47.29,69.26,2.5,1
294,19,100.0,68.59,86.68,5.7,1
295,19,84.57,90.19,76.51,6.8,1
296,21,84.09,86.72,78.22,4.2,1
297,23,59.16,44.73,75.21,0.0,1
298,24,100.0,84.76,84.5,5.4,1
299,22,100.0,54.33,76.4,5.9,1
300,25,82.52,76.33,91.18,5.8,1
301,18,91.37,95.84,85.69,7.5,1
302,18,87.29,62.08,81.74,2.9,1
303,20,82.73,61.12,95.03,6.4,1
304,23,80.63,83.95,93.74,7.4,1
305,19,77.94,56.94,81.76,1.4,1
306,22,82.58,84.35,82.74,5.6,1
307,21,78.83,61.38,84.35,4.0,1
308,19,71.06,65.13,81.31,4.8,1
309,25,64.92,52.85,71.73,5.7,1
310,23,79.36,74.04,80.42,4.0,1
311,25,84.85,68.87,79.25,3.6,1
312,24,78.04,61.04,84.87,5.1,1
313,21,87.76,70.73,74.58,2.8,1
314,24,66.36,80.72,69.51,2.8,1
315,20,73.65,76.61,88.05,6.4,1
316,25,72.43,71.32,64.89,2.7,1
317,20,83.07,82.18,94.27,6.3,1
318,18,90.4,63.25,79.95,5.9,1
319,24,61.75,89.18,74.96,1.5,1
320,23,89.48,65.15,81.67,3.6,1
321,25,100.0,90.07,89.53,7.4,1
322,22,73.61,78.23,64.73,3.0,1
323,21,89.8,70.62,84.79,4.1,1
324,19,72.14,84.98,84.23,5.9,1
325,23,95.55,82.75,78.12,6.6,1
326,23,88.97,56.49,73.0,4.5,1
327,20,85.03,67.41,74.93,3.8,1
328,24,88.24,76.05,75.21,7.8,1
329,25,60.96,79.96,100.0,8.5,1
330,25,79.58,65.35,95.89,7.0,1
331,18,74.34,89.12,84.01,5.2,1
332,18,65.42,89.42,75.01,3.4,1
333,21,76.12,81.64,75.02,3.3,1
334,20,78.81,93.25,88.06,6.0,1
335,23,74.15,73.26,95.66,5.8,1
336,25,77.81,75.76,81.04,7.8,1
337,22,76.74,69.56,73.66,6.3,1
338,20,82.21,73.73,86.38,2.0,1
339,21,79.69,84.02,69.9,7.1,1
340,21,68.85,68.07,67.93,3.0,1
341,20,73.03,88.14,76.43,4.2,1
342,21,84.89,81.36,68.52,5.5,1
343,20,96.56,76.94,96.9,9.0,1
344,19,68.15,85.43,99.26,11.2,1
345,20,93.82,86.78,77.8,6.2,1
346,24,93.16,86.3,89.44,4.6,1
347,20,72.8,84.92,93.79,6.1,1
348,21,75.68,100.0,82.69,6.8,1
349,25,73.7,92.82,75.19,4.4,1
350,24,83.24,91.09,100.0,8.6,1
351,21,83.74,66.44,86.77,5.5,1
352,18,63.53,62.28,84.05,6.0,1
353,18,72.72,74.25,93.51,6.3,1
354,25,97.79,86.44,84.02,5.8,1
355,25,75.82,100.0,79.36,6.7,1
356,24,88.83,76.41,78.24,3.8,1
357,19,80.25,85.72,86.11,3.9,1
358,25,55.31,65.46,59.66,2.8,1
359,18,89.05,85.17,79.5,5.9,1
360,20,83.62,89.68,94.26,6.6,1
361,21,78.15,53.94,77.71,5.9,1
362,18,92.35,79.94,98.97,8.3,1
363,18,84.75,86.4,91.32,5.0,1
364,19,90.98,82.19,82.08,6.3,1
365,24,85.18,54.04,71.05,2.8,1
366,24,81.68,43.44,76.1,4.2,1
367,23,70.44,74.81,100.0,6.4,1
368,19,80.36,79.24,98.4,6.7,1
369,20,100.0,62.59,79.8,4.4,1
370,24,86.94,76.42,74.93,4.9,1
371,21,94.69,72.08,74.94,2.0,1
372,25,91.85,80.95,80.55,4.3,1
373,19,87.82,52.13,73.65,6.8,1
374,25,86.61,62.83,83.04,6.2,1
375,18,82.63,74.34,92.58,6.0,1
376,21,62.92,82.17,65.81,5.1,1
377,21,80.18,80.87,86.61,5.0,1
378,18,88.21,76.76,88.4,3.7,1
379,19,78.2,74.6,78.32,6.4,1
380,18,86.52,73.47,95.15,5.8,1
381,25,91.52,69.26,76.48,6.0,1
382,23,67.6,80.92,81.33,3.9,1
383,21,62.59,51.05,68.95,0.7,1
384,22,76.42,91.8,81.94,7.2,1
385,22,68.78,74.49,73.06,4.0,1
386,25,62.02,69.36,82.19,3.3,1
387,20,75.2,71.32,89.59,6.4,1
388,24,91.79,56.33,77.88,4.2,1
389,18,77.15,73.53,73.32,7.1,1
390,18,84.86,74.64,85.63,6.2,1
391,20,79.17,50.77,86.18,6.4,1
392,20,83.69,64.53,72.87,2.3,1
393,25,100.0,93.29,99.74,7.4,1
394,25,90.14,83.31,68.49,5.5,1
395,20,80.96,66.95,60.86,4.3,1
396,21,78.59,76.46,74.75,5.3,1
397,25,57.28,57.53,78.48,1.4,1
398,23,100.0,79.19,73.15,5.8,1
399,25,66.1,87.18,67.95,2.9,1
400,18,78.54,78.52,82.21,2.3,1
401,25,81.6,72.25,77.7,2.0,1
402,21,81.05,75.69,87.42,7.2,1
403,20,86.48,80.1,83.65,3.7,1
404,18,96.94,64.06,82.8,8.1,1
405,25,93.98,68.67,74.77,3.9,1
406,21,65.11,71.8,79.68,1.6,1
407,23,60.54,77.29,64.84,2.8,1
408,25,82.45,90.54,67.86,7.5,1
409,21,81.19,77.64,75.93,4.7,1
410,23,77.28,69.35,85.25,3.9,1
411,20,76.97,82.36,82.64,5.3,1
412,25,63.91,66.57,88.86,6.0,1
413,23,91.3,71.46,68.27,7.2,1
414,18,100.0,84.44,88.32,7.9,1
415,20,82.54,74.98,83.83,4.3,1
416,18,77.99,44.99,63.79,2.3,1
417,22,83.32,78.06,85.3,4.2,1
418,19,85.47,85.77,80.11,5.5,1
419,25,83.62,68.37,100.0,3.1,1
420,23,78.25,97.79,58.78,3.1,1
421,19,78.97,68.9,92.35,5.7,1
422,19,71.74,70.37,76.65,4.9,1
423,23,77.81,70.56,67.26,5.1,1
424,20,78.64,69.59,72.78,3.5,1
425,25,75.34,69.56,81.22,4.5,1
426,22,77.74,52.72,84.7,3.2,1
427,18,89.79,73.84,97.38,6.8,1
428,21,94.63,80.13,95.58,7.1,1
429,18,81.73,78.64,64.88,1.3,1
430,21,75.08,95.73,85.24,3.1,1
431,18,57.92,82.03,77.13,2.0,1
432,23,72.65,61.8,72.16,3.7,1
433,22,79.84,66.05,77.9,4.8,1
434,25,52.94,64.39,68.52,2.1,1
435,21,88.49,91.01,76.7,3.2,1
436,25,75.42,67.01,70.16,3.0,1
437,25,85.01,60.27,72.58,5.4,1
438,25,93.96,69.29,84.03,5.1,1
439,24,69.5,79.88,82.23,3.6,1
440,20,86.94,84.48,79.3,5.4,1
441,18,75.6,69.3,88.74,3.9,1
442,25,76.66,81.7,76.92,4.5,1
443,18,82.18,57.62,84.18,8.3,1
444,25,100.0,84.35,90.68,7.7,1
445,21,68.44,77.53,73.74,2.4,1
446,20,92.09,70.11,84.08,6.7,1
447,20,66.05,69.76,63.04,6.6,1
448,23,84.9,45.7,75.53,2.7,1
449,24,95.32,98.88,68.58,6.6,1
450,23,90.27,75.66,76.43,8.1,1
451,23,71.13,71.29,64.92,2.8,1
452,23,78.6,76.85,68.06,3.2,1
453,23,100.0,99.14,79.61,7.0,1
454,23,63.87,74.65,77.11,5.5,1
455,22,91.12,71.83,87.51,6.1,1
456,20,72.98,79.18,83.18,5.7,1
457,23,82.2,92.81,66.39,5.8,1
458,25,69.42,64.86,75.27,2.3,1
459,20,82.02,69.84,86.75,7.1,1
460,20,86.8,63.41,81.97,7.3,1
461,19,67.16,58.84,78.51,4.5,1
462,22,89.99,85.07,81.32,4.9,1
463,23,52.76,61.85,79.92,1.9,1
464,18,88.4,70.71,69.4,6.0,1
465,21,80.03,69.71,80.25,6.1,1
466,24,67.99,75.72,91.87,4.9,1
467,25,88.62,78.73,95.73,7.2,1
468,18,62.33,69.62,85.41,4.3,1
469,22,83.7,94.49,86.49,6.1,1
470,21,59.77,87.46,89.24,3.0,1
471,22,84.61,55.68,95.34,5.0,1
472,25,69.86,78.03,78.37,4.7,1
473,20,76.99,67.18,73.24,5.5,1
474,21,80.84,69.92,76.44,4.3,1
475,20,71.37,77.81,100.0,4.7,1
476,25,84.52,77.55,70.85,6.7,1
477,18,62.16,75.07,74.44,4.1,1
478,25,76.71,73.48,62.3,1.8,1
479,18,100.0,89.03,88.0,8.5,1
480,21,100.0,75.64,75.98,7.8,1
481,21,73.11,59.65,73.93,2.4,1
482,23,92.08,61.92,67.2,6.4,1
483,22,59.19,61.75,82.94,4.0,1
484,23,96.53,100.0,90.78,5.5,1
485,22,89.56,67.3,78.13,5.6,1
486,23,73.66,59.18,77.92,4.5,1
487,20,87.57,74.04,75.49,3.4,1
488,21,73.26,69.48,78.65,3.6,1
489,18,70.02,67.25,76.09,3.2,1
490,22,79.65,86.81,82.74,3.3,1
491,25,69.07,81.29,89.66,4.9,1
492,22,86.02,64.44,70.69,3.6,1
493,18,73.64,74.11,80.33,6.4,1
494,23,78.5,77.97,93.21,8.0,1
495,22,67.3,81.9,66.23,3.8,1
496,24,89.1,72.8,65.23,5.5,1
497,20,76.83,56.48,83.81,6.0,1
498,21,69.22,77.12,85.77,5.9,1
499,18,74.54,57.16,74.62,5.2,1
500,21,84.18,100.0,78.37,6.5,1
501,24,71.19,66.41,75.92,6.0,1
502,22,60.98,65.56,68.06,2.5,1
503,22,100.0,83.2,88.95,6.7,1
504,25,76.79,76.94,74.16,6.8,1
505,24,72.27,67.02,74.88,3.5,1
506,18,76.63,80.36,72.96,5.1,1
507,25,79.99,97.51,71.16,6.4,1
508,20,85.01,83.01,86.16,4.6,1
509,25,95.78,99.04,80.04,7.1,1
510,19,91.04,76.54,90.91,9.7,1
511,18,62.84,74.01,64.74,3.4,1
512,19,84.34,68.46,68.46,2.2,1
513,24,80.85,81.01,87.25,5.6,1
514,23,100.0,95.71,100.0,6.4,1
515,19,56.04,70.85,63.19,4.5,1
516,20,90.65,78.83,84.19,7.9,1
517,25,91.09,73.31,77.9,2.3,1
518,23,80.67,57.86,77.87,6.4,1
519,25,74.15,68.56,84.4,3.8,1
520,19,93.16,83.59,79.87,8.4,1
521,25,86.41,75.96,89.23,9.0,1
522,24,72.38,83.18,72.82,3.5,1
523,23,73.32,58.95,87.56,3.9,1
524,24,78.83,78.47,77.99,6.7,1
525,19,89.89,76.12,75.59,4.2,1
526,24,84.31,90.94,87.37,4.9,1
527,20,82.81,75.17,71.98,5.1,1
528,19,76.69,74.83,72.95,1.2,1
529,19,77.36,83.41,65.42,5.0,1
530,19,68.06,72.28,68.5,3.6,1
531,18,70.97,58.93,81.06,4.0,1
532,25,88.72,66.49,77.87,7.9,1
533,18,61.91,68.78,70.64,2.5,1
534,18,79.8,73.29,87.14,6.6,1
535,20,73.04,84.23,74.17,4.4,1
536,23,99.45,82.15,85.38,4.4,1
537,25,57.06,77.58,84.93,6.6,1
538,24,80.3,63.21,84.89,5.7,1
539,22,100.0,84.43,92.13,6.1,1
540,19,86.92,68.48,86.36,6.9,1
541,24,85.43,63.8,90.91,4.3,1
542,19,77.4,59.65,84.89,3.8,1
543,20,66.73,66.74,71.41,2.8,1
544,19,52.48,83.94,86.95,3.3,1
545,18,99.75,92.64,93.91,10.9,1
546,25,79.74,77.18,81.84,7.5,1
547,22,63.9,48.59,76.83,2.3,1
548,21,67.21,73.83,83.7,2.4,1
549,19,100.0,68.64,85.64,6.0,1
550,24,100.0,79.71,96.78,6.1,1
551,18,85.47,74.05,90.89,6.1,1
552,21,73.85,83.56,83.19,4.5,1
553,22,67.33,72.21,71.19,4.7,1
554,21,86.79,76.39,79.96,5.7,1
555,18,98.43,81.43,80.97,5.2,1
556,25,64.33,87.08,76.77,0.6,1
557,25,54.71,84.16,84.1,4.5,1
558,23,81.6,68.84,77.96,3.3,1
559,25,91.05,76.24,81.76,5.4,1
560,23,82.14,86.7,97.76,11.0,1
561,21,83.86,65.7,74.53,5.7,1
562,20,82.71,66.57,92.36,4.4,1
563,24,84.67,71.13,67.22,6.8,1
564,24,75.09,85.84,93.64,6.0,1
565,21,92.56,64.55,81.24,5.8,1
566,19,79.57,94.6,90.42,6.2,1
567,19,77.45,96.32,91.11,9.1,1
568,25,52.61,68.35,78.17,2.7,1
569,24,95.31,77.7,86.23,5.9,1
570,24,80.47,62.61,82.67,3.1,1
571,23,84.18,81.54,79.57,6.1,1
572,20,70.2,82.66,84.68,3.2,1
573,18,72.31,64.16,69.72,4.2,1
574,19,67.44,54.8,78.76,4.4,1
575,24,81.69,89.44,90.69,7.0,1
576,23,64.2,84.29,91.56,6.8,1
577,22,65.14,54.06,78.69,2.5,1
578,23,77.19,66.5,77.05,5.1,1
579,19,81.9,60.49,84.37,3.6,1
580,19,72.1,58.81,69.65,2.5,1
581,23,86.75,69.92,93.21,4.6,1
582,18,91.69,70.0,78.12,4.4,1
583,21,100.0,81.89,77.48,9.9,1
584,19,87.41,68.6,72.24,5.9,1
585,23,71.72,63.85,74.75,2.2,1
586,24,66.89,73.71,78.92,3.9,1
587,23,93.4,77.2,99.76,7.0,1
588,20,100.0,100.0,80.09,9.2,1
589,21,73.82,71.5,73.92,1.8,1
590,22,87.77,44.51,63.92,1.2,1
591,18,75.84,92.38,83.46,8.7,1
592,25,70.86,84.67,95.07,5.8,1
593,22,83.45,64.68,67.51,3.3,1
594,21,85.94,60.36,86.9,6.1,1
595,21,78.14,60.1,73.14,0.0,1
596,21,79.85,74.91,79.81,5.0,1
597,22,73.42,63.64,85.56,5.7,1
598,24,83.26,62.99,74.32,6.8,1
599,21,58.67,67.95,89.25,3.0,1
600,23,69.31,72.8,95.8,5.2,1
601,22,84.02,64.29,76.58,3.1,1
602,25,90.23,75.5,100.0,5.5,1
603,21,78.23,56.37,73.21,3.2,1
604,23,60.39,67.38,81.6,4.2,1
605,24,70.42,75.4,87.46,3.0,1
606,20,71.65,74.7,78.93,6.3,1
607,24,96.87,60.04,72.35,6.7,1
608,25,72.66,67.83,66.11,4.5,1
609,21,69.44,62.46,96.69,5.1,1
610,25,71.6,69.51,69.97,2.1,1
611,22,71.8,77.03,77.31,4.4,1
612,19,94.54,54.79,70.9,4.9,1
613,21,88.25,99.71,97.99,10.2,1
614,19,59.41,55.05,69.35,2.8,1
615,23,67.17,100.0,81.87,7.9,1
616,20,85.69,80.41,86.4,7.0,1
617,18,76.18,61.84,72.69,5.6,1
618,25,76.21,71.8,85.57,8.5,1
619,24,93.99,81.28,92.62,5.7,1
620,20,89.07,72.7,85.03,5.8,1
621,21,79.42,73.54,80.84,4.9,1
622,19,100.0,100.0,86.52,7.4,1
623,24,93.23,73.21,81.29,7.2,1
624,19,67.87,71.82,93.37,3.7,1
625,22,61.81,84.24,68.3,2.4,1
626,19,86.98,77.05,80.89,4.6,1
627,22,79.16,50.92,77.72,3.4,1
628,23,81.4,80.76,87.87,4.9,1
629,24,79.04,68.54,93.83,7.5,1
630,24,83.38,89.18,77.94,4.1,1
631,18,72.15,64.83,82.13,4.9,1
632,21,79.28,100.0,82.83,5.1,1
